stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n8463175619,,North Railway Station,,9.9885607,76.2859855,,,0,,,0
n8463175620,,Kacherippady,,9.9861278,76.2829206,,,0,,,0
n8463175621,,High Court Junction,,9.9827947,76.2743432,,,0,,,0
n8494116519,,Pyari Junction,,9.9321242,76.26629,,,0,,,0
n8498628873,,Valanjambalam,,9.9645624,76.2889159,,,0,,,0
n8562986962,,Maanattuparambu,,10.0528827,76.2154577,,,0,,,0
n8661859529,,Ice Plant,,10.1214014,76.2252058,,,0,,,0
n8668423951,,Saritha,,9.9851222,76.2779591,,,0,,,0
n8668423952,,St Alberts,,9.9852889,76.2789632,,,0,,,0
n8668423966,,Saritha,,9.9850283,76.2766416,,,0,,,0
n8668423968,,Kacherpady,,9.9874669,76.2850828,,,0,,,0
n8668955468,,Fortkochi Veli,,9.9516476,76.2446297,,,0,,,0
n8668982935,,Amaravathi,,9.9569999,76.2448556,,,0,,,0
n8668983327,,Ground,,9.9519295,76.2423105,,,0,,,0
n8668993731,,Fortkochi Veli,,9.9524878,76.2447085,,,0,,,0
n8677019617,,Vypin,,9.9743136,76.2443566,,,0,,,0
n9162332240,,Aniyal,,10.0791874,76.2107011,,,0,,,0
n9162332241,,[stop],,10.0796839,76.2131426,,,0,,,0
n9162332242,,[stop],,10.0797328,76.2131144,,,0,,,0
n9162332243,,[stop],,10.0804247,76.2161225,,,0,,,0
n9162332244,,[stop],,10.0804762,76.2160997,,,0,,,0
n9162332245,,[stop],,10.0811086,76.2200895,,,0,,,0
n9162332246,,[stop],,10.0811879,76.2201042,,,0,,,0
n9162332247,,Puliyampullly Temple,,10.0771593,76.2206876,,,0,,,0
n9162332248,,Puliyampullly Temple,,10.0772055,76.2207842,,,0,,,0
n9162332249,,[stop],,10.0757121,76.2213206,,,0,,,0
n9162332250,,[stop],,10.0757583,76.2214172,,,0,,,0
n9162332251,,[stop],,10.0741553,76.2218705,,,0,,,0
n9162332252,,[stop],,10.0742016,76.221967,,,0,,,0
n9162332253,,Boat jetty,,10.0715917,76.2225652,,,0,,,0
n9162332254,,Boat jetty,,10.07163,76.2226242,,,0,,,0
n9182595066,,Deshabhimani,,9.9985368,76.2967685,,,0,,,0
n9182595067,,Deshabhimani,,9.9985658,76.2965364,,,0,,,0
n9258708870,,Chalikkavattom,,9.9791637,76.3173665,,,0,,,0
n9259132617,,Subash Park,,9.9697156,76.2806522,,,0,,,0
n9265640217,,Children's Park,,9.9739723,76.27906,,,0,,,0
n9280367798,9,Vyttila,,9.968317,76.3219169,,,0,,,0
n9280367799,10,Vyttila,,9.9681235,76.3219397,,,0,,,0
