line_id,route_id,line_name,route_name
r13561807,r13561805,Cheranellore ↔ Thevara,Thevara → Cheranellore
r13562297,r13562295,Mattancherry ↔ Kumbalangi,Kumbalangi → Mattancherry
r13562297,r13562296,Mattancherry ↔ Kumbalangi,Mattancherry → Kumbalangi
r13562583,r13562582,Aluva ↔ Ernakulam South,Aluva → Ernakulam South
r13562583,r13562581,Aluva ↔ Ernakulam South,Ernakulam South → Aluva
r13562613,r13562612,Aluva ↔ Thevara (via NAD and Padma),Aluva → Thevara
r13562613,r13562611,Aluva ↔ Thevara (via NAD and Padma),Thevara → Aluva
r13562704,r13562702,Fort Kochi ↔ Perumpadappu,Fort Kochi → Perumpadappu
r13562704,r13562703,Fort Kochi ↔ Perumpadappu,Perumpadappu → Fort Kochi
r13562782,r13562780,Aluva ↔ Mattancherry via Menaka,Aluva → Mattancherry
r13562782,r13562781,Aluva ↔ Mattancherry via Menaka,Mattancherry → Aluva
r13563616,r13563615,Cheranellore ↔ Fort Kochi (via Menaka),Cheranellore → Fort Kochi
r13563616,r13563614,Cheranellore ↔ Fort Kochi (via Menaka),Fort Kochi → Cheranellore
r13563806,r13563804,Aluva ↔ Konthuruthy,Aluva → Konthuruthy
r13563806,r13563805,Aluva ↔ Konthuruthy,Konthuruthy → Aluva
r13568407,r13568406,Chittoor Temple ↔ Edakochi,Chittoor Temple → Edakochi
r13568407,r13568405,Chittoor Temple ↔ Edakochi,Edakochi → Chittoor Temple
r13570055,r13570053,Chellanam ↔ Vyttila,Chellanam → Vyttila
r13570055,r13570054,Chellanam ↔ Vyttila,Vyttila → Chellanam
r13570067,r13570066,Aluva ↔ Kumbalangi,Aluva → Kumbalangi
r13570067,r13570065,Aluva ↔ Kumbalangi,Kumbalangi → Aluva
r13570075,r13570073,Wellington Island ↔ Kumbalangi,Kumbalangi → Wellington Island
r13570075,r13570074,Wellington Island ↔ Kumbalangi,Wellington Island → Kumbalangi
r13570706,r13570705,Eloor ↔ Fort Kochi,Eloor → Fort Kochi
r13570706,r13570704,Eloor ↔ Fort Kochi,Fort Kochi → Eloor
r13571046,r13571045,Chittortemple ↔ Panangad,Chittortemple → Panangad
r13571046,r13571044,Chittortemple ↔ Panangad,Panangad → Chittortemple
r13571066,r13571064,Cheranellore ↔ Panangad,Cheranellore → Panangad
r13571066,r13571065,Cheranellore ↔ Panangad,Panangad → Cheranellore
r13571179,r13571177,Puthukkalavattom ↔ Thevara,Puthukkalavattom → Thevara
r13571179,r13571178,Puthukkalavattom ↔ Thevara,Thevara → Puthukkalavattom
r13571525,r13571524,Aluva ↔ Ankamaly,Aluva → Ankamaly
r13571525,r13571523,Aluva ↔ Ankamaly,Ankamaly → Aluva
r13573162,r13573160,Aluva ↔ Panangad,Panangad → Aluva
r13573162,r13573159,Aluva ↔ Panangad,Aluva → Panangad
r13574912,r13574910,Edakochi ↔ Kakkanad,Edakochi → Kakkanad
r13574912,r13574911,Edakochi ↔ Kakkanad,Kakkanad → Edakochi
r13575127,r13575126,Kakkanad ↔ Panangad,Kakkanad → Panangad
r13575127,r13575125,Kakkanad ↔ Panangad,Panangad → Kakkanad
r13575547,r13575546,Eloor ↔ Mattancherry,Eloor → Mattancherry
r13575547,r13575545,Eloor ↔ Mattancherry,Mattancherry → Eloor
