stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n7019570868,Maanattuparambu,10.0529277,76.2153837,,,yes
n7019570870,Veliyatham Parambu,10.0567833,76.2150498,,,no
n7019570871,Kudungasseri,10.0596219,76.213991,,,no
n7019570872,Kudungasseri,10.0596311,76.2140667,,,no
n7019570873,Kochambalam,10.0632687,76.2131392,,,no
n7019570874,Kochambalam,10.0633606,76.2132047,,,no
n7019570875,ATH,10.0664302,76.2128566,,,no
n7019570876,Nayarambalam,10.0721065,76.2117953,,,no
n7019609343,Ayyampilly,10.1261624,76.1983233,,,no
n7019609344,Palli Hospital,10.1157282,76.2008458,,,yes
n7019609345,Palli Hospital,10.115544,76.2010495,,,no
n7019609346,Janatha,10.1206757,76.1994262,,,no
n7019609347,Vadakekkara,10.117625,76.2000972,,,no
n7019609348,Ramavarma,10.1282817,76.1977626,,,yes
n7019609349,Ramavarma,10.1282337,76.1978319,,,no
n7019609351,Gowreeswaram,10.1323847,76.1963925,,,no
n7019609353,Devaswam Nada,10.1392946,76.1948071,,,no
n7019697468,Devaswam Nada,10.1387686,76.1944881,,,no
n7021264003,Goshree Junction,9.9824079,76.2414167,,,yes
n7021264004,Goshree Junction,9.9823641,76.2409292,,,no
n7021264005,Murikkumpaadam,9.99025,76.2389909,,,no
n7021264006,Murikkumpaadam,9.9901588,76.2391089,,,no
n7052794239,Vadakekkara,10.1178715,76.2001813,,,no
n7052794240,Palli,10.1396021,76.1991468,,,no
n7052794241,Perumpadanna Bridge,10.1431903,76.2120193,,,no
n7052794242,Perumpadanna Bridge,10.143157,76.2123319,,,no
n7052794244,Perumpadanna,10.1438874,76.2167223,,,no
n7052794245,Perumpadanna,10.1437566,76.216514,,,yes
n7052794250,Prabhus,10.1441584,76.2202308,,,no
n7052794251,Prabhus,10.1441,76.2205598,,,no
n7052794252,High Court,9.9839186,76.2737822,,,no
n7052794253,High Court,9.9839945,76.2739735,,,no
n7052794270,Bolgatty,9.9914302,76.2650321,,,yes
n7052794271,Vallarpadam,9.9858794,76.2510874,,,no
n7052794272,Vallarpadam,9.9862147,76.2511868,,,yes
n7052794273,Sea Food,9.9866353,76.2402138,,,no
n7052794274,Sea Food,9.9869027,76.2402648,,,no
n7060336594,Boat Jetty Junction,9.9736589,76.2810595,,,no
n7068947210,Elamkulam Junction,9.9676489,76.3049747,,,no
n7068947211,Elamkulam Junction,9.9678782,76.3050171,,,no
n7069576483,Vaduthala Valavu,10.0189779,76.2751375,,,no
n7069576484,Kurishupalli,10.0171602,76.2762154,,,no
n7069624685,Kurishupalli,10.0172296,76.2761217,,,no
n7069624689,Don Bosco,10.0140504,76.2767365,,,no
n7080379200,School Muttam,10.0103156,76.2301519,,,no
n7083824551,School Muttam,10.0101016,76.2301332,,,no
n7083824552,Thekkan Malippuram,9.9950081,76.237088,,,no
n7083824553,Thekkan Malippuram,9.9948414,76.2373217,,,no
n7084389851,Cherai Bridge,10.1409528,76.203369,,,no
n7084389852,Cherai Bridge,10.14089,76.2034965,,,no
n7086058489,Vallarpadam Junction,9.9870786,76.2537046,,,no
n7086058490,Vallarpadam Junction,9.9868419,76.2535664,,,no
n7097918159,Goshree Junction,9.9818807,76.2410691,,,no
n7097918160,Panikkaru Padi,9.9782814,76.2409844,,,no
n7097918161,Panikkaru Padi,9.978214,76.2409247,,,no
n7098248597,Devaswam Nada,10.139907,76.1941055,,,no
n7098248598,Karuthala,10.14487,76.1914713,,,no
n7098248599,Karuthala,10.1447607,76.191638,,,no
n7098248600,Bakery,10.1483005,76.1901874,,,yes
n7098248601,Bakery,10.1484834,76.1902565,,,no
n7098248602,SMHSS,10.1509628,76.1899346,,,no
n7098248603,SMHSS,10.1507716,76.1899181,,,yes
n7099505375,Kothakulam,10.1259156,76.2374776,,,no
n7099579495,Kothakulam,10.1260845,76.2374499,,,no
n7099924088,North Paravur,10.1495163,76.2317707,,,yes
n7099969098,Manjanakkad,10.0466117,76.2319811,,,
n7099984219,Nedungad Palli,10.0689154,76.2231879,,,no
n7102015085,Janatha,10.1564617,76.1873997,,,no
n7102015086,Janatha,10.1566726,76.187481,,,no
n7102015087,Kolothumkadavu,10.1607058,76.1844289,,,no
n7102015088,Kolothumkadavu,10.1609551,76.1843798,,,no
n7102015089,Convent,10.1641333,76.1829519,,,no
n7102015090,Convent,10.164368,76.1829478,,,no
n7102015091,Pallippuram Palli,10.1667395,76.1814967,,,no
n7102015092,Pallippuram Palli,10.1668551,76.1813872,,,no
n7102015139,Police Station,10.1690155,76.1805388,,,yes
n7102015140,Police Station,10.1687835,76.1808545,,,yes
