line_id,route_id,line_name,route_name,direction
r13761992,r13761991,Cheranellore ↔ Thrippoonithura,Thrippoonithura → Cheranellore,backward
r13762115,r13762114,Aluva ↔ Kalady,Aluva → Kalady,forward
r13762115,r13762113,Aluva ↔ Kalady,Kalady → Aluva,backward
r13775320,r13775319,Chottanikkara ↔ Kaloor (via Menaka),Chottanikkara → Kaloor,unknown
r13775320,r13775318,Chottanikkara ↔ Kaloor (via Menaka),Kaloor → Chottanikkara,unknown
r13781303,r13781302,Kaloor ↔ Kumbalangi,Kaloor → Kumbalangi,forward
r13781303,r13781301,Kaloor ↔ Kumbalangi,Kumbalangi → Kaloor,backward
r13781430,r13781429,Kaloor ↔ Pukkattupady,Pukkattupady → Kaloor,backward
r13781463,r13781462,Ernakulam South ↔ Perumbavoor,Ernakulam South → Perumbavoor,forward
r13781491,r13781490,Kaloor ↔ Thrippoonithura,Kaloor → Thrippoonithura,forward
r13781491,r13781489,Kaloor ↔ Thrippoonithura,Thrippoonithura → Kaloor,backward
r13781528,r13876966,Aluva ↔ Kaloor,Aluva → Kaloor,forward
r13781528,r13781527,Aluva ↔ Kaloor,Kaloor → Aluva,backward
r13791383,r13791379,High Court ↔ Nedungad,High Court → Nedungad,forward
r13791383,r13791380,High Court ↔ Nedungad,Nedungad → High Court,backward
r13791384,r13791381,Manjanakad ↔ High Court (via Vypin),High Court → Manjanakad,unknown
r13791384,r13791382,Manjanakad ↔ High Court (via Vypin),Manjanakad → High Court,unknown
r13791533,r13791531,North Paravur ↔ Kadamakkudy (via Pizhalakadavu),Kadamakkudy → North Paravur,unknown
r13791533,r13791532,North Paravur ↔ Kadamakkudy (via Pizhalakadavu),North Paravur → Kadamakkudy,unknown
r13791621,r13791620,Cheranellore ↔ Thrippoonithura (via Pipeline),Cheranellore → Thrippoonithura,unknown
r13791621,r13791619,Cheranellore ↔ Thrippoonithura (via Pipeline),Thrippoonithura → Cheranellore,unknown
r13791696,r13791695,Cheranellore ↔ Thrippoonithura (via KK Road),Cheranellore → Thrippoonithura,unknown
r13791696,r13791694,Cheranellore ↔ Thrippoonithura (via KK Road),Thrippoonithura → Cheranellore,unknown
r13791758,r13791757,Cheranellore ↔ Fort Kochi,Cheranellore → Fort Kochi,forward
r13791758,r13791756,Cheranellore ↔ Fort Kochi,Fort Kochi → Cheranellore,backward
r13792383,r13792382,Eroor ↔ Eroor,Eroor → Eroor,forward
r13792747,r13792745,Thrippoonithura ↔ Medical college (via Bypass),Medical college → Thrippoonithura,unknown
r13792747,r13792746,Thrippoonithura ↔ Medical college (via Bypass),Thrippoonithura → Medical college,unknown
r13792775,r13792774,Kozhivettumveli ↔ Kozhivettumveli,Kozhivettumveli → Kozhivettumveli,forward
r13792894,r13792893,Aluva ↔ Chathamma,Aluva → Chathamma,forward
r13792894,r13792892,Aluva ↔ Chathamma,Chathamma → Aluva,backward
r13792943,r13792942,Kakkanad ↔ Manakkakadavu,Kakkanad → Manakkakadavu,forward
r13792943,r13792941,Kakkanad ↔ Manakkakadavu,Manakkakadavu → Kakkanad,backward
r13793165,r13793164,Aluva ↔ Illichuvadu Junction,Aluva → Illichuvadu Junction,forward
r13793165,r13793163,Aluva ↔ Illichuvadu Junction,Illichuvadu Junction → Aluva,backward
r13796243,r13796241,North Paravur ↔ Vypin,Vypin → North Paravur,backward
r13796243,r13796242,North Paravur ↔ Vypin,North Paravur → Vypin,forward
r13810977,r13810975,Thevara ↔ Pukkattupady,Pukkattupady → Thevara,backward
r13810977,r13810976,Thevara ↔ Pukkattupady,Thevara → Pukkattupady,forward
r13812889,r13812888,Ernakulam Boat Jetty ↔ Pizhala,Ernakulam Boat Jetty → Pizhala,forward
r13812889,r13812887,Ernakulam Boat Jetty ↔ Pizhala,Pizhala → Ernakulam Boat Jetty,backward
r13813338,r13813336,Aluva ↔ Thrippoonithura,Thrippoonithura → Aluva,backward
r13813338,r13813337,Aluva ↔ Thrippoonithura,Aluva → Thrippoonithura,forward
r13818643,r13818642,Piravom ↔ Vyttila,Piravom → Vyttila,forward
r13818643,r13818641,Piravom ↔ Vyttila,Vyttila → Piravom,backward
r13825414,r13825412,High Court ↔ Appangad (via Vypin),Appangad → High Court,unknown
r13825414,r13825413,High Court ↔ Appangad (via Vypin),High Court → Appangad,unknown
r13825425,r13825423,Vyttila ↔ Gonduparambu,Gonduparambu → Vyttila,backward
r13825425,r13825424,Vyttila ↔ Gonduparambu,Vyttila → Gonduparambu,forward
r13825502,r13825501,Perumbavoor ↔ Thevara Ferry,Perumbavoor → Thevara Ferry,forward
r13825502,r13825500,Perumbavoor ↔ Thevara Ferry,Thevara Ferry → Perumbavoor,backward
r13825517,r13825515,Chettibhagam ↔ Kadamakudy,Chettibhagam → Kadamakudy,forward
r13825517,r13825516,Chettibhagam ↔ Kadamakudy,Kadamakudy → Chettibhagam,backward
r13825522,r13825520,Chettibhagam ↔ North Paravur,Chettibhagam → North Paravur,forward
r13825522,r13825521,Chettibhagam ↔ North Paravur,North Paravur → Chettibhagam,backward
r13825532,r13825531,Chettibhagam ↔ Pizhalakkadavu,Chettibhagam → Pizhalakkadavu,forward
r13825532,r13825530,Chettibhagam ↔ Pizhalakkadavu,Pizhalakkadavu → Chettibhagam,backward
r13834627,r13834625,Edachira ↔ Ernakulam South,Edachira → Ernakulam South,forward
r13834627,r13834626,Edachira ↔ Ernakulam South,Ernakulam South → Edachira,backward
r13834680,r13834678,Kumbalangi ↔ Thoppumpady,Kumbalangi → Thoppumpady,forward
r13834680,r13834679,Kumbalangi ↔ Thoppumpady,Thoppumpady → Kumbalangi,backward
r13834697,r13834695,Palarivattom ↔ Wellington Island,Palarivattom → Wellington Island,forward
r13834697,r13834696,Palarivattom ↔ Wellington Island,Wellington Island → Palarivattom,backward
r13834709,r13834707,Ernakulam South ↔ Pukkattupady,Ernakulam South → Pukkattupady,forward
r13834709,r13834708,Ernakulam South ↔ Pukkattupady,Pukkattupady → Ernakulam South,backward
r13834767,r13834765,Ernakulam South ↔ Thevara Ferry,Ernakulam South → Thevara Ferry,forward
r13834767,r13834766,Ernakulam South ↔ Thevara Ferry,Thevara Ferry → Ernakulam South,backward
r13834780,r13834778,Ernakulam South ↔ Thevara Junction,Ernakulam South → Thevara Junction,forward
r13834780,r13834779,Ernakulam South ↔ Thevara Junction,Thevara Junction → Ernakulam South,backward
r13834820,r13834818,Kadamakudy ↔ Pizhalakkadavu,Kadamakudy → Pizhalakkadavu,forward
r13834820,r13834819,Kadamakudy ↔ Pizhalakkadavu,Pizhalakkadavu → Kadamakudy,backward
r13834840,r13834838,Aluva ↔ Muppathadam,Aluva → Muppathadam,forward
r13834840,r13834839,Aluva ↔ Muppathadam,Muppathadam → Aluva,backward
r13834852,r13834850,Aluva ↔ Vattapparambu,Aluva → Vattapparambu,forward
r13834852,r13834851,Aluva ↔ Vattapparambu,Vattapparambu → Aluva,backward
r13835426,r13835425,Chittethukara ↔ Thevara Ferry,Chittethukara → Thevara Ferry,forward
r13835426,r13835424,Chittethukara ↔ Thevara Ferry,Thevara Ferry → Chittethukara,backward
r13835478,r13835476,Aluva ↔ NAD,Aluva → NAD,forward
r13835478,r13835477,Aluva ↔ NAD,NAD → Aluva,backward
r13835644,r13835642,Medical College ↔ Poothotta,Medical College → Poothotta,forward
r13835644,r13835643,Medical College ↔ Poothotta,Poothotta → Medical College,backward
r13835657,r13835655,Aluva ↔ Eloor,Aluva → Eloor,forward
r13835657,r13835656,Aluva ↔ Eloor,Eloor → Aluva,backward
r13837312,r13837311,Aluva ↔ Ernakulam South,Aluva → Ernakulam South,forward
r13837312,r13837310,Aluva ↔ Ernakulam South,Ernakulam South → Aluva,backward
r13837374,r13837372,Chottanikkara ↔ Ponekkara,Chottanikkara → Ponekkara,forward
r13837374,r13837373,Chottanikkara ↔ Ponekkara,Ponekkara → Chottanikkara,backward
r13837511,r13837509,Chittethukara ↔ Perumpadappu,Chittethukara → Perumpadappu,forward
r13837511,r13837510,Chittethukara ↔ Perumpadappu,Perumpadappu → Chittethukara,backward
r13837569,r13837567,Eloor ↔ Poothotta (via Bypass),Eloor → Poothotta,unknown
r13837569,r13837568,Eloor ↔ Poothotta (via Bypass),Poothotta → Eloor,unknown
r13837630,r13837628,Aluva ↔ Chottanikkara (via Bypass),Aluva → Chottanikkara,unknown
r13837630,r13837629,Aluva ↔ Chottanikkara (via Bypass),Chottanikkara → Aluva,unknown
r13837791,r13837789,Chottanikkara ↔ Kaloor (via Bypass),Chottanikkara → Kaloor,unknown
r13837791,r13837790,Chottanikkara ↔ Kaloor (via Bypass),Kaloor → Chottanikkara,unknown
r13837821,r13837819,Kaloor ↔ Thrippoonithura,Kaloor → Thrippoonithura,forward
r13837821,r13837820,Kaloor ↔ Thrippoonithura,Thrippoonithura → Kaloor,backward
r13838046,r13838044,Poothota ↔ Irumpanam,Irumpanam → Poothota,backward
r13838046,r13838045,Poothota ↔ Irumpanam,Poothota → Irumpanam,forward
r13838061,r13838060,Poothota ↔ Perumbavoor,Perumbavoor → Poothota,backward
r13838061,r13838059,Poothota ↔ Perumbavoor,Poothota → Perumbavoor,forward
r13838092,r13838090,Kakkanad ↔ Poothotta,Kakkanad → Poothotta,forward
r13838092,r13838091,Kakkanad ↔ Poothotta,Poothotta → Kakkanad,backward
r13838211,r13838207,Kakkanad ↔ Chellanam,Chellanam → Kakkanad,backward
r13838211,r13838208,Kakkanad ↔ Chellanam,Kakkanad → Chellanam,forward
r13838258,r13838257,Edakochi ↔ Puthukkalavattom,Edakochi → Puthukkalavattom,forward
r13838258,r13838256,Edakochi ↔ Puthukkalavattom,Puthukkalavattom → Edakochi,backward
r13838449,r13838416,Chittoor ↔ Eroor,Chittoor → Eroor,forward
r13838449,r13838417,Chittoor ↔ Eroor,Eroor → Chittoor,backward
r13838501,r13838499,Eroor ↔ Kothad Ferry,Eroor → Kothad Ferry,forward
r13838501,r13838500,Eroor ↔ Kothad Ferry,Kothad Ferry → Eroor,backward
r13838567,r13838565,Aluva ↔ Chottanikkara (via Ponekkara),Aluva → Chottanikkara,unknown
r13838567,r13838566,Aluva ↔ Chottanikkara (via Ponekkara),Chottanikkara → Aluva,unknown
r13838750,r13838748,North Paravur ↔ Thevara Junction,North Paravur → Thevara Junction,forward
r13838750,r13838749,North Paravur ↔ Thevara Junction,Thevara Junction → North Paravur,backward
r13838881,r13838879,Kaloor ↔ Chathanad,Chathanad → Kaloor,backward
r13838881,r13838880,Kaloor ↔ Chathanad,Kaloor → Chathanad,forward
r13838898,r13838896,Kaloor ↔ Chathanad,Chathanad → Kaloor,backward
r13838898,r13838897,Kaloor ↔ Chathanad,Kaloor → Chathanad,forward
r13839195,r13839193,Aluva ↔ North Paravur,Aluva → North Paravur,forward
r13839195,r13839194,Aluva ↔ North Paravur,North Paravur → Aluva,backward
r13839224,r13839222,Thrippoonithura ↔ Thoppumpady,Thoppumpady → Thrippoonithura,backward
r13839224,r13839223,Thrippoonithura ↔ Thoppumpady,Thrippoonithura → Thoppumpady,forward
r13839959,r13839958,Kaloor ↔ Nechoor,Kaloor → Nechoor,forward
r13839959,r13839957,Kaloor ↔ Nechoor,Nechoor → Kaloor,backward
r13840066,r13840064,Kaloor ↔ Amaeda,Amaeda → Kaloor,backward
r13840066,r13840065,Kaloor ↔ Amaeda,Kaloor → Amaeda,forward
r13840073,r13840072,Kakkanad ↔ Thrippoonithura,Kakkanad → Thrippoonithura,forward
r13840073,r13840071,Kakkanad ↔ Thrippoonithura,Thrippoonithura → Kakkanad,backward
r13840084,r13840083,Aluva ↔ Chellanam (via Padma),Aluva → Chellanam,unknown
r13840084,r13840082,Aluva ↔ Chellanam (via Padma),Chellanam → Aluva,unknown
r13840178,r13840176,Aluva ↔ Vyttila,Aluva → Vyttila,forward
r13840178,r13840177,Aluva ↔ Vyttila,Vyttila → Aluva,backward
r13840234,r13840232,Kundannoor ↔ Vyttila,Kundannoor → Vyttila,forward
r13840234,r13840233,Kundannoor ↔ Vyttila,Vyttila → Kundannoor,backward
r13840281,r13840280,Aluva ↔ Ankamaly,Aluva → Ankamaly,forward
r13840281,r13840279,Aluva ↔ Ankamaly,Ankamaly → Aluva,backward
r13840365,r13840363,Aluva ↔ Kakkanad,Aluva → Kakkanad,forward
r13840365,r13840364,Aluva ↔ Kakkanad,Kakkanad → Aluva,backward
r13847529,r13847528,Ankamaly ↔ Thoppumpady,Ankamaly → Thoppumpady,forward
r13847529,r13847527,Ankamaly ↔ Thoppumpady,Thoppumpady → Ankamaly,backward
r13850236,r13850235,Ankamaly ↔ Ernakulam Boat Jetty,Ankamaly → Ernakulam Boat Jetty,forward
r13850236,r13850234,Ankamaly ↔ Ernakulam Boat Jetty,Ernakulam Boat Jetty → Ankamaly,backward
r13850732,r13850731,North Paravur ↔ Vyttila,North Paravur → Vyttila,forward
r13850732,r13850730,North Paravur ↔ Vyttila,Vyttila → North Paravur,backward
r13874627,r13874626,Edachira ↔ Edakochi,Edachira → Edakochi,forward
r13874627,r13874625,Edachira ↔ Edakochi,Edakochi → Edachira,backward
r13874633,r13874631,Elamakkara ↔ Ernakulam South,Elamakkara → Ernakulam South,forward
r13874633,r13874632,Elamakkara ↔ Ernakulam South,Ernakulam South → Elamakkara,backward
r13874700,r13874697,Thevara Junction ↔ Edachira,Edachira → Thevara Junction,backward
r13874700,r13874696,Thevara Junction ↔ Edachira,Thevara Junction → Edachira,forward
r13874701,r13874698,Edachira ↔ Pambayimoola,Edachira → Pambayimoola,forward
r13874701,r13874699,Edachira ↔ Pambayimoola,Pambayimoola → Edachira,backward
r13874787,r13874785,Thuthiyoor ↔ Ernakulam South,Ernakulam South → Thuthiyoor,backward
r13874787,r13874786,Thuthiyoor ↔ Ernakulam South,Thuthiyoor → Ernakulam South,forward
r13874795,r13874793,Thuthiyoor ↔ Thevara Ferry,Thevara Ferry → Thuthiyoor,backward
r13874795,r13874794,Thuthiyoor ↔ Thevara Ferry,Thuthiyoor → Thevara Ferry,forward
r13874803,r13874801,Chittethukara ↔ Kakkanad,Chittethukara → Kakkanad,forward
